TimeStep,KilobotID,X,Y,Theta,Neighbors,CoMX,CoMY,EstimateHeading,EstimateError
861,0,566,324,5.0,0,566,324,0,0
864,0,566,323,5.0,0,566,323,0,0
867,0,567,322,5.0,0,567,322,0,0
870,0,567,321,5.0,0,567,321,0,0
873,0,567,321,5.0,0,567,321,0,0
876,0,567,320,5.0,0,567,320,0,0
879,0,567,319,5.0,0,567,319,0,0
882,0,568,318,5.0,0,568,318,0,0
885,0,568,317,5.0,0,568,317,0,0
888,0,568,317,5.0,0,568,317,0,0
891,0,568,316,5.0,0,568,316,0,0
894,0,569,315,5.0,0,569,315,0,0
897,0,569,314,5.0,0,569,314,0,0
900,0,569,314,5.0,0,569,314,0,0
903,0,569,313,5.0,0,569,313,0,0
906,0,569,312,5.0,0,569,312,0,0
909,0,570,311,5.0,0,570,311,0,0
912,0,570,311,5.0,0,570,311,0,0
915,0,570,310,5.0,0,570,310,0,0
918,0,570,309,5.0,0,570,309,0,0
921,0,571,308,5.0,0,571,308,0,0
924,0,571,307,5.0,0,571,307,0,0
927,0,571,307,5.0,0,571,307,0,0
930,0,571,306,5.0,0,571,306,0,0
933,0,572,305,5.0,0,572,305,0,0
936,0,572,304,5.0,0,572,304,0,0
939,0,572,304,5.0,0,572,304,0,0
942,0,572,303,5.0,0,572,303,0,0
945,0,572,302,5.0,0,572,302,0,0
948,0,573,301,5.0,0,573,301,0,0
951,0,573,301,5.0,0,573,301,0,0
954,0,573,300,5.0,0,573,300,0,0
957,0,573,299,5.0,0,573,299,0,0
960,0,574,298,5.0,0,574,298,0,0
963,0,574,298,5.0,0,574,298,0,0
966,0,574,297,5.0,0,574,297,0,0
969,0,574,296,5.0,0,574,296,0,0
972,0,574,295,5.0,0,574,295,0,0
975,0,575,294,5.0,0,575,294,0,0
978,0,575,294,5.0,0,575,294,0,0
981,0,575,293,5.0,0,575,293,0,0
984,0,575,292,5.0,0,575,292,0,0
987,0,576,291,5.0,0,576,291,0,0
990,0,576,291,5.0,0,576,291,0,0
993,0,576,290,5.0,0,576,290,0,0
996,0,576,289,5.0,0,576,289,0,0
999,0,577,288,5.0,0,577,288,0,0
1002,0,577,288,5.0,0,577,288,0,0
