ObjectID,Frame,X,Y
2,3123,"[755.0, 693.5]","[575.0, 333.5]"
2,3124,"[755.0, 694.5]","[575.0, 333.5]"
2,3125,"[755.0, 693.5]","[575.0, 333.5]"
2,3126,"[754.0, 694.5]","[575.0, 333.5]"
2,3127,"[754.0, 693.5]","[575.0, 333.5]"
2,3128,"[754.0, 693.5]","[575.0, 333.5]"
2,3129,"[754.0, 693.5]","[574.0, 332.5]"
2,3130,"[754.0, 694.5]","[574.0, 332.5]"
2,3131,"[754.0, 693.5]","[574.0, 333.5]"
2,3132,"[754.0, 694.5]","[574.0, 332.5]"
2,3133,"[753.0, 693.5]","[574.0, 332.5]"
2,3134,"[753.0, 693.5]","[574.0, 332.5]"
2,3135,"[753.0, 693.5]","[574.0, 332.5]"
2,3136,"[753.0, 693.5]","[574.0, 332.5]"
2,3137,"[753.0, 693.5]","[574.0, 332.5]"
2,3138,"[753.0, 693.5]","[574.0, 331.5]"
2,3139,"[753.0, 693.5]","[574.0, 332.5]"
2,3140,"[753.0, 693.5]","[574.0, 331.5]"
2,3141,"[753.0, 693.5]","[574.0, 331.5]"
2,3142,"[753.0, 693.5]","[574.0, 331.5]"
2,3143,"[752.0, 693.5]","[573.0, 331.5]"
2,3144,"[752.0, 693.5]","[573.0, 331.5]"
2,3145,"[752.0, 692.5]","[574.0, 331.5]"
2,3146,"[752.0, 692.5]","[574.0, 330.5]"
2,3147,"[752.0, 693.5]","[574.0, 330.5]"
2,3148,"[752.0, 692.5]","[574.0, 331.5]"
2,3149,"[752.0, 692.5]","[573.0, 330.5]"
2,3150,"[751.0, 693.5]","[573.0, 330.5]"
2,3151,"[751.0, 692.5]","[573.0, 330.5]"
2,3152,"[751.0, 693.5]","[573.0, 330.5]"
2,3153,"[751.0, 692.5]","[573.0, 330.5]"
2,3154,"[751.0, 693.5]","[573.0, 330.5]"
2,3155,"[751.0, 692.5]","[573.0, 330.5]"
2,3156,"[750.0, 692.5]","[573.0, 330.5]"
2,3157,"[750.0, 692.5]","[573.0, 329.5]"
2,3158,"[750.0, 692.5]","[573.0, 329.5]"
2,3159,"[750.0, 691.5]","[573.0, 329.5]"
2,3160,"[750.0, 691.5]","[573.0, 330.5]"
2,3161,"[750.0, 692.5]","[573.0, 330.5]"
2,3162,"[750.0, 692.5]","[573.0, 329.5]"
2,3163,"[750.0, 691.5]","[573.0, 329.5]"
2,3164,"[750.0, 692.5]","[573.0, 329.5]"
2,3165,"[750.0, 691.5]","[573.0, 328.5]"
2,3166,"[750.0, 691.5]","[573.0, 329.5]"
2,3167,"[750.0, 692.5]","[573.0, 328.5]"
2,3168,"[749.0, 691.5]","[573.0, 328.5]"
2,3169,"[749.0, 691.5]","[573.0, 328.5]"
2,3170,"[749.0, 692.5]","[573.0, 328.5]"
2,3171,"[749.0, 691.5]","[573.0, 328.5]"
2,3172,"[749.0, 691.5]","[573.0, 328.5]"
2,3173,"[748.0, 691.5]","[572.0, 328.5]"
2,3174,"[748.0, 691.5]","[572.0, 328.5]"
2,3175,"[748.0, 691.5]","[572.0, 328.5]"
2,3176,"[748.0, 691.5]","[572.0, 328.5]"
2,3177,"[748.0, 691.5]","[572.0, 327.5]"
2,3178,"[748.0, 690.5]","[572.0, 327.5]"
2,3179,"[748.0, 690.5]","[572.0, 328.5]"
2,3180,"[748.0, 690.5]","[572.0, 327.5]"
2,3181,"[747.0, 690.5]","[572.0, 327.5]"
2,3182,"[747.0, 690.5]","[572.0, 328.5]"
2,3183,"[747.0, 690.5]","[572.0, 327.5]"
2,3184,"[747.0, 690.5]","[572.0, 328.5]"
2,3185,"[746.0, 690.5]","[572.0, 327.5]"
2,3186,"[746.0, 690.5]","[572.0, 327.5]"
2,3187,"[746.0, 690.5]","[572.0, 327.5]"
2,3188,"[746.0, 690.5]","[572.0, 327.5]"
2,3189,"[746.0, 690.5]","[572.0, 327.5]"
2,3190,"[746.0, 689.5]","[572.0, 327.5]"
2,3191,"[746.0, 689.5]","[572.0, 327.5]"
2,3192,"[745.0, 690.5]","[572.0, 327.5]"
2,3193,"[745.0, 689.5]","[572.0, 327.5]"
2,3194,"[745.0, 690.5]","[572.0, 326.5]"
2,3195,"[745.0, 689.5]","[572.0, 327.5]"
2,3196,"[745.0, 689.5]","[572.0, 326.5]"
2,3197,"[745.0, 689.5]","[572.0, 326.5]"
2,3198,"[745.0, 690.0]","[572.0, 327.0]"
2,3199,"[745.0, 689.5]","[572.0, 327.5]"
2,3200,"[744.0, 689.5]","[572.0, 327.5]"
2,3201,"[744.0, 689.5]","[572.0, 327.5]"
2,3202,"[744.0, 689.5]","[572.0, 327.5]"
2,3203,"[744.0, 689.5]","[572.0, 326.5]"
2,3204,"[744.0, 688.5]","[573.0, 326.5]"
2,3205,"[744.0, 688.5]","[573.0, 327.5]"
2,3206,"[744.0, 688.5]","[573.0, 326.5]"
2,3207,"[744.0, 688.5]","[572.0, 327.5]"
2,3208,"[743.0, 688.5]","[572.0, 326.5]"
2,3209,"[743.0, 688.5]","[572.0, 327.5]"
2,3210,"[743.0, 688.5]","[572.0, 326.5]"
2,3211,"[743.0, 688.5]","[572.0, 327.5]"
2,3212,"[742.0, 688.5]","[572.0, 326.5]"
2,3213,"[742.0, 688.5]","[572.0, 326.5]"
2,3214,"[742.0, 688.5]","[572.0, 326.5]"
2,3215,"[742.0, 687.5]","[573.0, 326.5]"
2,3216,"[742.0, 688.5]","[573.0, 326.5]"
2,3217,"[742.0, 688.5]","[573.0, 326.5]"
2,3218,"[742.0, 687.5]","[573.0, 326.5]"
2,3219,"[742.0, 688.5]","[573.0, 326.5]"
2,3220,"[741.0, 687.5]","[573.0, 326.5]"
2,3221,"[741.0, 687.5]","[573.0, 326.5]"
2,3222,"[741.0, 687.5]","[573.0, 326.5]"
2,3223,"[741.0, 687.5]","[573.0, 327.5]"
2,3224,"[741.0, 687.5]","[573.0, 326.5]"
2,3225,"[741.0, 687.5]","[573.0, 326.5]"
2,3226,"[740.0, 687.5]","[573.0, 326.5]"
2,3227,"[740.0, 687.5]","[573.0, 326.5]"
